user_id	post_name	u_interactions_f	u_text_f	u_topic_c	u_topic_o	u_sentiment_c	u_sentiment_f
39	2208	5	119	8	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7609890103340149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051006022840738297]	2	0.991904
40	2206	5	92	8	[0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.7187093496322632, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505, 0.014064534567296505]	2	0.997622
41	2201	5	129	8	[0.014221533201634884, 0.014221533201634884, 0.014221561141312122, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.6564404964447021, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.07335031777620316, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884, 0.014221533201634884]	2	0.995467
42	2195	5	127	8	[0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.6866272687911987, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.014001190662384033, 0.014001189731061459, 0.014001189731061459, 0.014001189731061459, 0.04735011234879494]	2	0.999805
43	2191	5	82	8	[0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.7463378310203552, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388, 0.012683110311627388]	2	0.999274
44	2187	5	154	8	[0.011073509231209755, 0.01107350829988718, 0.05771094560623169, 0.01107350829988718, 0.01107350829988718, 0.0775250717997551, 0.011073509231209755, 0.09321922808885574, 0.4894152581691742, 0.01107350829988718, 0.10495341569185257, 0.01107350829988718, 0.01107350829988718, 0.011073509231209755, 0.01107350829988718, 0.01107350829988718, 0.011073509231209755, 0.01107350829988718, 0.01107350829988718, 0.01107350829988718, 0.011073509231209755]	2	0.999912
45	2185	5	96	8	[0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.7517355680465698, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413224205374718, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568, 0.012413222342729568]	2	0.999592
46	2155	5	503	6	[0.0165561456233263, 0.0165561456233263, 0.0165561456233263, 0.0165561456233263, 0.0165561456233263, 0.0165561456233263, 0.28965315222740173, 0.08917923271656036, 0.23637406527996063, 0.0165561456233263, 0.05985131114721298, 0.01655614748597145, 0.0165561456233263, 0.0165561456233263, 0.016556233167648315, 0.0165561456233263, 0.01655614748597145, 0.016556164249777794, 0.060043755918741226, 0.0165561456233263, 0.016556227579712868]	2	0.996938
47	2147	5	117	8	[0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.597440242767334, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.0947854146361351, 0.0134274922311306, 0.013427493162453175, 0.0134274922311306, 0.0134274922311306, 0.0134274922311306, 0.06607946008443832]	2	0.999085
48	2127	5	124	8	[0.012649424374103546, 0.012649422511458397, 0.012649426236748695, 0.012649422511458397, 0.056784119457006454, 0.012649422511458397, 0.012649422511458397, 0.012649422511458397, 0.5140030384063721, 0.012649422511458397, 0.012649422511458397, 0.012649422511458397, 0.012649422511458397, 0.06517062336206436, 0.012649422511458397, 0.06101006269454956, 0.012649423442780972, 0.012649422511458397, 0.012649422511458397, 0.06766244769096375, 0.0456283837556839]	2	0.999564
49	2022	5	98	16	[0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.19797870516777039, 0.01267462782561779, 0.01267462782561779, 0.01267462968826294, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.5612033605575562, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779, 0.01267462782561779]	2	0.999913
50	3347	5	101	7	[0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.5039011240005493, 0.16856786608695984, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183, 0.017238477244973183]	2	0.999475
51	1970	5	108	8	[0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.0649300366640091, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.3494279086589813, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.014751731418073177, 0.2719481885433197, 0.014751731418073177, 0.06291445344686508]	2	0.99567
52	3215	5	334	20	[0.03218968212604523, 0.03218968212604523, 0.03218971565365791, 0.03218968212604523, 0.03219041973352432, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218971565365791, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218968212604523, 0.03218982368707657, 0.03218969330191612, 0.03218968212604523, 0.35620540380477905]	2	0.999985
53	3214	5	771	1	[0.015335943549871445, 0.6246175169944763, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.01533594448119402, 0.01533598080277443, 0.015335947275161743, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335946343839169, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.015335943549871445, 0.08399951457977295]	2	0.995097
54	1789	5	554	17	[0.013326567597687244, 0.013326617889106274, 0.013326572254300117, 0.013326567597687244, 0.013348802924156189, 0.013326591812074184, 0.013326575979590416, 0.013326567597687244, 0.14073386788368225, 0.0436483733355999, 0.013326571322977543, 0.013326567597687244, 0.013326567597687244, 0.013326567597687244, 0.013326570391654968, 0.013326567597687244, 0.013326567597687244, 0.5459797382354736, 0.013326570391654968, 0.04306408017873764, 0.013326567597687244]	2	0.941652
55	3184	5	193	20	[0.020304163917899132, 0.1677255779504776, 0.020304163917899132, 0.020304163917899132, 0.020304163917899132, 0.17446377873420715, 0.020304163917899132, 0.020304163917899132, 0.020304197445511818, 0.020304163917899132, 0.02030416578054428, 0.020304163917899132, 0.020304163917899132, 0.020304163917899132, 0.02030416764318943, 0.020304175093770027, 0.020304163917899132, 0.020304163917899132, 0.08688795566558838, 0.020304163917899132, 0.2257518619298935]	2	0.999988
