item_id	i_posts_f	i_interactions_f	i_friends_f	i_topic_o	i_topic1_c	i_topic1_f	i_topic2_c	i_topic2_f
21	0	10	1655.0	[0.05152863664552569, 0.023777751065790654, 0.014979960303753615, 0.05061501692980528, 0.03045839536935091, 0.014979963190853596, 0.17014473639428615, 0.0655448878183961, 0.06747833425179124, 0.01819799477234483, 0.12869537640362977, 0.01497995825484395, 0.022902685403823852, 0.06451599290594459, 0.057210457790642974, 0.014979958161711692, 0.014979961141943932, 0.02684423392638564, 0.06648627677932381, 0.05769532471895218, 0.0230040836147964]	6.0	0.17014473639428615	10.0	0.12869537640362977
22	5952	9	445256.0	[0.02405742897341649, 0.004894593109687169, 0.004894597455859184, 0.0048945921783645945, 0.004894595282773177, 0.011464752463830842, 0.0048945921783645945, 0.004894592385325167, 0.3261791252427631, 0.0048945921783645945, 0.004894593006206883, 0.009015102249880632, 0.00947552246765958, 0.0048945922818448805, 0.0048945921783645945, 0.004894593006206883, 0.020062328937153023, 0.004894596421056324, 0.0048945921783645945, 0.009759070869121287, 0.42796793869800037]	20.0	0.42796793869800037	8.0	0.3261791252427631
23	0	151	699.0	[0.03181404135627857, 0.039990954304619734, 0.022506994466661222, 0.030351086285285996, 0.02656200285754259, 0.030107104774589177, 0.30625324912788654, 0.02443384171913791, 0.03277132132812249, 0.02467526483738067, 0.057571564529658545, 0.05913616348033315, 0.03515670142623763, 0.031296567436283, 0.05601753964896826, 0.019599042475124857, 0.0484218979501073, 0.029451510542078525, 0.032575098594144876, 0.03462381587542643, 0.023280326566899455]	6.0	0.30625324912788654	11.0	0.05913616348033315
24	0	24	1859395.0	[0.016031313765173156, 0.007210884786521395, 0.007210883738783498, 0.02312641715010007, 0.007210883971614142, 0.012332879899380108, 0.007210886105895042, 0.0072108838163937134, 0.02615439414512366, 0.007210897941452761, 0.02785669538813333, 0.01531631825491786, 0.030531983667363722, 0.008374186931177974, 0.013879684886584679, 0.007210883738783498, 0.007210887968540192, 0.009109446817698577, 0.009530831361189485, 0.007210884631300966, 0.661303408909589]	20.0	0.661303408909589	12.0	0.030531983667363722
25	0	6	1670.0	[0.028351748672624428, 0.015339696779847145, 0.015339603026707968, 0.14665426686406136, 0.015339604889353117, 0.04642287269234657, 0.22731208273520073, 0.015339601164062818, 0.015339601319283247, 0.015339601164062818, 0.0696239701161782, 0.027351765893399715, 0.1394051474829515, 0.015339601164062818, 0.04397598374634981, 0.015339601164062818, 0.052928140852600336, 0.01533967675641179, 0.01533967861905694, 0.02938230304668347, 0.035195451540251575]	6.0	0.22731208273520073	3.0	0.14665426686406136
26	0	5	762.0	[0.054776094295084475, 0.06949309222400188, 0.015344444848597049, 0.015344444848597049, 0.015344444848597049, 0.015344479493796826, 0.18843383751809598, 0.015344444848597049, 0.015344444848597049, 0.015344444848597049, 0.08397497702389956, 0.06777823250740767, 0.11821407955139876, 0.015344444848597049, 0.015344444848597049, 0.015344444848597049, 0.05888549201190472, 0.10476870853453875, 0.01534444633871317, 0.036639520712196824, 0.04824702274054289]	6.0	0.18843383751809598	12.0	0.11821407955139876
27	0	10	2426.0	[0.0631767999380827, 0.027678705658763646, 0.016385523974895476, 0.03693973757326603, 0.04441029597073794, 0.02160888584330678, 0.21866632755845786, 0.016385523974895476, 0.016385537385940552, 0.016385523974895476, 0.05986877316609025, 0.03869196185842157, 0.06782034132629633, 0.02404072377830744, 0.05130364652723074, 0.09243302755057811, 0.09087769407778978, 0.016385525185614824, 0.03587088920176029, 0.01638552686199546, 0.028299033548682927]	6.0	0.21866632755845786	15.0	0.09243302755057811
28	0	8	373.0	[0.013462338596582413, 0.05470362422056496, 0.023751274216920137, 0.10849976632744074, 0.06452586827799678, 0.013462338596582413, 0.27844884688965976, 0.013462338596582413, 0.013462338596582413, 0.013462338596582413, 0.013462338596582413, 0.022471453296020627, 0.07775586028583348, 0.013462338596582413, 0.031941111432388425, 0.013462339411489666, 0.056381622911430895, 0.05767401086632162, 0.051028201123699546, 0.03676541545428336, 0.028354224981740117]	6.0	0.27844884688965976	3.0	0.10849976632744074
29	0	6	1717.0	[0.032800743356347084, 0.016455236667146284, 0.1089509166777134, 0.016455234959721565, 0.15011834244554242, 0.016455234959721565, 0.016455234959721565, 0.016455234959721565, 0.13233549458285174, 0.016455234959721565, 0.03188525326550007, 0.02846738789230585, 0.10217993054538965, 0.016455234959721565, 0.01645533585300048, 0.016455234959721565, 0.016455235114941996, 0.12882198952138424, 0.016455234959721565, 0.06712117977440357, 0.036311084715028606]	4.0	0.15011834244554242	8.0	0.13233549458285174
30	0	5	1257.0	[0.014466499537229538, 0.1438879819586873, 0.035036010481417176, 0.06380285229533911, 0.03631165847182274, 0.014466500096023082, 0.014466499537229538, 0.023688963241875173, 0.014466500282287598, 0.15283147878944875, 0.014466499537229538, 0.02888108305633068, 0.11733613442629576, 0.014466499537229538, 0.036975165642797944, 0.043396847508847716, 0.014466499723494054, 0.014466499909758568, 0.014466499537229538, 0.14935980271548033, 0.038293528743088244]	9.0	0.15283147878944875	19.0	0.14935980271548033
31	0	8	361.0	[0.01553049054928124, 0.01553049124777317, 0.08366776118054986, 0.11771567317191511, 0.1439540630672127, 0.0717383527662605, 0.12325959233567119, 0.01553048996720463, 0.03280204918701202, 0.015530490432865918, 0.01553049252834171, 0.02453960559796542, 0.0798240116564557, 0.01553048996720463, 0.09842627390753478, 0.01553048996720463, 0.015530491946265101, 0.015530514647252858, 0.015530493343248963, 0.01553048996720463, 0.030422378098592162]	4.0	0.1439540630672127	6.0	0.12325959233567119
32	0	11	550.0	[0.014808883213184097, 0.01480888964777643, 0.01901174937798218, 0.03392123422500762, 0.05872529237107797, 0.024535601619969715, 0.12424454668706114, 0.014808890409767628, 0.033961735242469746, 0.014808879741890863, 0.07361525288698348, 0.12372679517350414, 0.06493558235127818, 0.02057767854156819, 0.0500045246867971, 0.014808883636512539, 0.13362895434891636, 0.02242393715476448, 0.014813793399794535, 0.1021895312958143, 0.025639361701905727]	16.0	0.13362895434891636	6.0	0.12424454668706114
33	0	5	2229.0	[0.014498475193977355, 0.014498475193977355, 0.014498475193977355, 0.08467253968119622, 0.014498475193977355, 0.014498475193977355, 0.24001153223216534, 0.014498475193977355, 0.02596847489476204, 0.014498475193977355, 0.014498475193977355, 0.028913058713078497, 0.16322346199303867, 0.07374131232500077, 0.032369650155305865, 0.1138636952266097, 0.014498475380241871, 0.03942754492163658, 0.014498475193977355, 0.014498475193977355, 0.038325493596494196]	6.0	0.24001153223216534	12.0	0.16322346199303867
34	0	17	687.0	[0.04056704225128188, 0.013311430592747295, 0.05600744507768575, 0.02809227181269842, 0.029694819001152235, 0.01582691933521453, 0.3251030530561419, 0.020888208959470776, 0.016544873004450518, 0.022919605595662314, 0.019198600860203013, 0.029694448060849133, 0.08704900884014719, 0.026089478064985835, 0.04654091941740583, 0.0393716239315622, 0.016697516829213676, 0.017061947187518373, 0.0806786508354194, 0.04479884164517417, 0.023863283205120003]	6.0	0.3251030530561419	12.0	0.08704900884014719
35	0	5	328.0	[0.017675303667783738, 0.13864228520542382, 0.17509861700236798, 0.0382969718426466, 0.017675303667783738, 0.017675304040312766, 0.017675303667783738, 0.017675304040312766, 0.017675305530428887, 0.017675303667783738, 0.04466525129973888, 0.03208988755941391, 0.12054493874311448, 0.017675303667783738, 0.017675304040312766, 0.017675304040312766, 0.01767530422657728, 0.15251540951430798, 0.04454068355262279, 0.017675304040312766, 0.041502322629094125]	2.0	0.17509861700236798	17.0	0.15251540951430798
36	0	7	278.0	[0.039158551687640805, 0.015292860833661897, 0.015292891700352942, 0.015292860833661897, 0.01529286163193839, 0.05273184220173529, 0.3599334537450756, 0.029301473604781286, 0.01529287254171712, 0.015292860833661897, 0.0842237633519939, 0.025588996708393097, 0.08877117133566312, 0.03105218548859869, 0.01529286109975406, 0.015292860833661897, 0.05819162367177861, 0.03633627747850759, 0.024762704436268126, 0.01529286163193839, 0.032312160091740746]	6.0	0.3599334537450756	12.0	0.08877117133566312
37	0	7	3823.0	[0.015326329506933689, 0.032920092211237977, 0.02552808914333582, 0.015326307687376226, 0.07234667667320796, 0.0392557665971773, 0.14990682354462997, 0.0482740422178592, 0.0339930464646646, 0.015326320459800107, 0.10418158024549484, 0.036491726259035726, 0.11503467775349106, 0.015326307421284062, 0.015326307687376226, 0.05182300787419081, 0.10255954148513931, 0.02133352030068636, 0.015326307155191898, 0.0420479095940079, 0.03234560588108642]	6.0	0.14990682354462997	12.0	0.11503467775349106
38	0	37	1162.0	[0.014854524083234169, 0.04609076391804863, 0.03540575738392166, 0.03235688032834111, 0.01827259925571648, 0.024581613245646696, 0.2953041043082202, 0.020486572279116592, 0.024581246858311666, 0.015666467162805633, 0.08922919472427787, 0.035990910503912614, 0.057326996900342604, 0.020266735296998475, 0.038138766924070346, 0.027715861344256916, 0.04930163824276344, 0.033535086776356436, 0.047835141772756704, 0.05178770516067743, 0.016702698594009555]	6.0	0.2953041043082202	10.0	0.08922919472427787
39	0	55	738.0	[0.017649893090128897, 0.05929397637532516, 0.021214035034857012, 0.06344820592891086, 0.030372337387366728, 0.0463513401590965, 0.2689009320329536, 0.020627592368559405, 0.022512022067200054, 0.014342986690727148, 0.0601702820001678, 0.06639985364269127, 0.03254117510196838, 0.04271352174268527, 0.03719755035232414, 0.016166605072265323, 0.05104102389040319, 0.020430204475467856, 0.04667559626766227, 0.030797550234604964, 0.03115330795672807]	6.0	0.2689009320329536	11.0	0.06639985364269127
40	0	37	23207.0	[0.028761064105138585, 0.09871612524462713, 0.014107779624897081, 0.03325622362663617, 0.04855773409174101, 0.04492346459143871, 0.22899005388387958, 0.038743693230522645, 0.0174721329900864, 0.023283435384163987, 0.05320784701286135, 0.05631176810208205, 0.030987996759044158, 0.03533588576357107, 0.040941912605351696, 0.0220064312169278, 0.060650046663107096, 0.020883342351865123, 0.0598708377345591, 0.014107780556219656, 0.02888443796719248]	6.0	0.22899005388387958	1.0	0.09871612524462713
41	0	86	5652.0	[0.05911099055218835, 0.03887603395120349, 0.022547127873918344, 0.04319637387904317, 0.057259500254118856, 0.04205583858975144, 0.25408918084576726, 0.03033991978871961, 0.02012690932078417, 0.01861707482833502, 0.035580268476245014, 0.05162460865929376, 0.03461961176376357, 0.02073374257401325, 0.04163909242163564, 0.024591840630353884, 0.043802575327369364, 0.046597545165135416, 0.04500927468545215, 0.04069451232938919, 0.026761035781440345]	6.0	0.25408918084576726	0.0	0.05911099055218835
42	0	116	6288.0	[0.03432886989722992, 0.04063392505210278, 0.03845613936347694, 0.041319407635079373, 0.029129499144017183, 0.023575664883286787, 0.2839043750748809, 0.023397034258934957, 0.037146216667867424, 0.021811142611991744, 0.048098566026651655, 0.029676987725342142, 0.04604079243566456, 0.029482008230968797, 0.040957283686268435, 0.01663477547017151, 0.05726562601771077, 0.02940493471246084, 0.06507472029148505, 0.039460258718965385, 0.024201767109655613]	6.0	0.2839043750748809	18.0	0.06507472029148505
43	0	8	587.0	[0.03489454253576696, 0.022003219346515834, 0.12333919061347842, 0.022003308520652354, 0.032830746727995574, 0.022003313060849905, 0.05756823590490967, 0.022003490012139082, 0.053978223353624344, 0.02200330188497901, 0.022003264049999416, 0.15308614762034267, 0.08629683940671384, 0.02200321527197957, 0.05536064179614186, 0.02200347767211497, 0.022003345657140017, 0.022003367077559233, 0.022003217600286007, 0.10808870021719486, 0.0525202127173543]	11.0	0.15308614762034267	2.0	0.12333919061347842
44	0	64	1478.0	[0.03227989329025149, 0.041641079471446574, 0.02834459459700156, 0.04037500797130633, 0.027671489136992022, 0.0338982349348953, 0.2793022613186622, 0.036415418464457616, 0.02831921642064117, 0.0199172137217829, 0.06326394867210183, 0.0443323930085171, 0.04236240917816758, 0.030101389580522664, 0.042997719763661735, 0.022449586555012502, 0.03849616675870493, 0.032950431006611325, 0.03593848310993053, 0.04265688582381699, 0.030570001734304242]	6.0	0.2793022613186622	10.0	0.06326394867210183
45	0	6	1629.0	[0.07507878526424368, 0.01416432112455368, 0.04388522760321697, 0.041210167265186705, 0.04203338222578168, 0.01416432112455368, 0.2502673255900542, 0.09161414997652173, 0.014164323608080545, 0.025707163227101166, 0.01416432143499454, 0.026176474057137966, 0.09988901671022177, 0.01416432112455368, 0.0352194399262468, 0.01416432112455368, 0.014164321279774109, 0.07536826655268669, 0.03226177797963222, 0.0281183955570062, 0.034020171190301575]	6.0	0.2502673255900542	12.0	0.09988901671022177
46	0	5	2595.0	[0.013629791885614395, 0.013629794865846635, 0.013629791885614395, 0.013629791885614395, 0.029206425324082373, 0.013629791885614395, 0.2939006119966507, 0.013629791885614395, 0.14440345391631126, 0.013629791885614395, 0.013629791885614395, 0.02804437540471554, 0.13175958544015884, 0.013629791885614395, 0.013629791885614395, 0.013629791885614395, 0.04349914621561766, 0.013629791885614395, 0.11454229988157749, 0.013629791885614395, 0.037456810101866723]	6.0	0.2939006119966507	8.0	0.14440345391631126
47	0	9	968.0	[0.0208775976465808, 0.020877580261892743, 0.2628179699596431, 0.08155598553518455, 0.027952845932708845, 0.02087766511572732, 0.0349249927740958, 0.09248176941441165, 0.03027093017266856, 0.03199625160131189, 0.02572198688156075, 0.02888576707078351, 0.0930947849733962, 0.02087757819228702, 0.03221094132297569, 0.020877812885575824, 0.023505772050056193, 0.04435033123526308, 0.025972855794760916, 0.02087770143730773, 0.03899089495340983]	2.0	0.2628179699596431	12.0	0.0930947849733962
48	0	9	1719.0	[0.012300477880570624, 0.012300477880570624, 0.012300477880570624, 0.034076794878476195, 0.012300477880570624, 0.012300477880570624, 0.40560625721183086, 0.012300477880570624, 0.012300477880570624, 0.026417532418337133, 0.03993812513848146, 0.020308579835626814, 0.06945027493768269, 0.012300477880570624, 0.012300477880570624, 0.012300477880570624, 0.05923135795940956, 0.012300477880570624, 0.15340984778271782, 0.012300477880570624, 0.025537710222933028]	6.0	0.40560625721183086	18.0	0.15340984778271782
49	0	34	680.0	[0.019356123281314093, 0.037292430834735144, 0.04606035943416988, 0.0209739337237004, 0.014303189784507541, 0.043599166140398556, 0.2995845094761428, 0.030975310433217707, 0.019613981466082966, 0.03731687440920402, 0.042390923317083544, 0.05092083931188373, 0.047530695686445516, 0.053334781763089055, 0.03822680757216671, 0.028214481275747803, 0.025527669062070987, 0.04533481633509783, 0.04902114713674083, 0.028900499346063417, 0.02152145475916126]	6.0	0.2995845094761428	13.0	0.053334781763089055
50	0	12	1508.0	[0.014836689302076897, 0.014836685421566168, 0.014836685421566168, 0.0376815606529514, 0.014836685421566168, 0.014836687439431747, 0.30527772723386687, 0.014836685421566168, 0.01817420218139887, 0.014836696752657494, 0.02282083050037424, 0.07841248802530269, 0.057699033292010427, 0.04559181537479162, 0.04192384099587798, 0.014836685421566168, 0.05003484548069537, 0.10126312837625544, 0.06858468288555741, 0.014836685732007027, 0.039005657813201346]	6.0	0.30527772723386687	17.0	0.10126312837625544
51	0	5	823.0	[0.014655987918376922, 0.026728610694408416, 0.04316841047257185, 0.014655987918376922, 0.025083780102431775, 0.014655987918376922, 0.014655987918376922, 0.020191123150289057, 0.03997273426502943, 0.014655987918376922, 0.014655987918376922, 0.014655988104641438, 0.14803965538740158, 0.014655987918376922, 0.12092529498040676, 0.026733608543872835, 0.014656003192067146, 0.1410018501803279, 0.18537597600370645, 0.014655987918376922, 0.07621904741972685]	18.0	0.18537597600370645	12.0	0.14803965538740158
52	0	23	4715.0	[0.017383354027634083, 0.025525825543572075, 0.014052639836850374, 0.08907075679820517, 0.014052639877342659, 0.014052639877342659, 0.3361959738413925, 0.014052639836850374, 0.02429313212633133, 0.014052639836850374, 0.05369227812827929, 0.03810438691921856, 0.014052639877342659, 0.06805711478480826, 0.03585511587722146, 0.014052639836850374, 0.05589892840741769, 0.04042634027807609, 0.08069157729978146, 0.016477183357852955, 0.019959544398538445]	6.0	0.3361959738413925	3.0	0.08907075679820517
